Site,Treatment,Plot,Trap,Species,Family,Growthform,Dispersalmode,SuccessionalStage,SeedSize,seedsSum,seedSizeCat,Seed_deposition_rate
JG,P,B,7.5,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,B,7.5,FIC_CAL,Moraceae,ET,Animal-dispersed,Late,1,2,<5 mm trees,2.666666667
JG,P,B,7.5,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,5,<5 mm trees,6.666666667
JG,P,B,7.5,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,4,shrubs,5.333333333
JG,P,B,7.5,HYO_ELE,Arecaceae,UP,Animal-dispersed,Late,1,1,<5 mm trees,1.333333333
JG,P,B,7.5,ING_EDU,Fabaceae,CT,Animal-dispersed,Late,3,1,>10 mm trees,1.333333333
JG,P,B,7.5,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,3,<5 mm trees,4
JG,P,B,7.5,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,38,<5 mm trees,50.66666667
JG,P,B,7.5,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,B,7.5,MYR_COR,Primulaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,B,7.5,RUA_GLA,Meliaceae,CT,Animal-dispersed,Late,3,1,>10 mm trees,1.333333333
JG,P,B,7.5,SOL_ATU,Solanaceae,Shrub,Animal-dispersed,Both,1,1,shrubs,1.333333333
JG,P,B,7.5,SOL_NUD,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,B,7.5,STA_OCC,Staphyleaceae,CT,Animal-dispersed,Early,2,1,5-10 mm trees,1.333333333
JG,P,B,7.5,TRO_RAC,Moraceae,CT,Animal-dispersed,Late,2,2,5-10 mm trees,2.666666667
JG,P,B,7.5,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,2,shrubs,2.666666667
JG,P,B,7.5,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,3,shrubs,4
JG,P,C,1,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,110,shrubs,146.6666667
JG,P,C,1,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,26,<5 mm trees,34.66666667
JG,P,C,1,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,14,<5 mm trees,18.66666667
JG,P,C,1,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,2,<5 mm trees,2.666666667
JG,P,C,1,HAM_APP,Malvaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,C,1,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,28,<5 mm trees,37.33333333
JG,P,C,1,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,3,shrubs,4
JG,P,C,1,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,26,<5 mm trees,34.66666667
JG,P,C,1,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,27,<5 mm trees,36
JG,P,C,1,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,17,<5 mm trees,22.66666667
JG,P,C,1,MON_PIT,Polygalaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,1,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,4,<5 mm trees,5.333333333
JG,P,C,1,PSI_GUA,Myrtaceae,CT,Animal-dispersed,Early,1,5,<5 mm trees,6.666666667
JG,P,C,1,RUB_URT,Rosaceae,Shrub,Animal-dispersed,Early,1,2,shrubs,2.666666667
JG,P,C,1,SOL_NUD,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,1,TER_AMA,Combretaceae,CT,Wind-dispersed,Late,1,1,<5 mm trees,1.333333333
JG,P,C,1,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,100,shrubs,133.3333333
JG,P,C,1,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,6,shrubs,8
JG,P,C,1,VER_TUR,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,C,1,VIB_COS,Adoxaceae,UT,Animal-dispersed,Both,1,4,<5 mm trees,5.333333333
JG,P,C,1,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,51,shrubs,68
JG,P,C,2,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,66,shrubs,88
JG,P,C,2,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,25,<5 mm trees,33.33333333
JG,P,C,2,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,14,<5 mm trees,18.66666667
JG,P,C,2,CLI_ANC,Asteraceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,2,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,7,<5 mm trees,9.333333333
JG,P,C,2,FIC_COL,Moraceae,CT,Animal-dispersed,Both,1,15,<5 mm trees,20
JG,P,C,2,GON_ROS,Rubiaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,2,HAM_APP,Malvaceae,CT,Animal-dispersed,Early,1,3,<5 mm trees,4
JG,P,C,2,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,23,<5 mm trees,30.66666667
JG,P,C,2,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,3,shrubs,4
JG,P,C,2,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,19,<5 mm trees,25.33333333
JG,P,C,2,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,16,<5 mm trees,21.33333333
JG,P,C,2,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,2,<5 mm trees,2.666666667
JG,P,C,2,MON_PIT,Polygalaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,2,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,15,<5 mm trees,20
JG,P,C,2,PIP_CRA,Piperaceae,Shrub,Animal-dispersed,Both,1,1,shrubs,1.333333333
JG,P,C,2,PIP_FRI,Piperaceae,Shrub,Animal-dispersed,Early,1,40,shrubs,53.33333333
JG,P,C,2,PSI_GUA,Myrtaceae,CT,Animal-dispersed,Early,1,2,<5 mm trees,2.666666667
JG,P,C,2,SOL_ERY,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,2,SOL_NUD,Solanaceae,Shrub,Animal-dispersed,Early,1,5,shrubs,6.666666667
JG,P,C,2,SOL_TOR,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,2,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,76,shrubs,101.3333333
JG,P,C,2,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,3,shrubs,4
JG,P,C,2,VER_TUR,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,C,2,VIB_COS,Adoxaceae,UT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,C,2,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,54,shrubs,72
JG,P,C,7.5,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,80,shrubs,106.6666667
JG,P,C,7.5,CAL_URT,Asteraceae,Shrub,Wind-dispersed,Early,NA,1,shrubs,1.333333333
JG,P,C,7.5,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,12,<5 mm trees,16
JG,P,C,7.5,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,11,<5 mm trees,14.66666667
JG,P,C,7.5,CLI_ANC,Asteraceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,7.5,DEN_SES,Araliaceae,CT,Animal-dispersed,Both,1,2,<5 mm trees,2.666666667
JG,P,C,7.5,GON_ROS,Rubiaceae,Shrub,Animal-dispersed,Early,1,3,shrubs,4
JG,P,C,7.5,HAM_APP,Malvaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
JG,P,C,7.5,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,40,<5 mm trees,53.33333333
JG,P,C,7.5,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,12,shrubs,16
JG,P,C,7.5,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,22,<5 mm trees,29.33333333
JG,P,C,7.5,LAN_CAM,Verbenaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,7.5,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,11,<5 mm trees,14.66666667
JG,P,C,7.5,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,5,<5 mm trees,6.666666667
JG,P,C,7.5,MON_PIT,Polygalaceae,Shrub,Animal-dispersed,Early,1,2,shrubs,2.666666667
JG,P,C,7.5,PAL_PAD,Rubiaceae,UT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
JG,P,C,7.5,RUB_URT,Rosaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,7.5,SOL_ERY,Solanaceae,Shrub,Animal-dispersed,Early,1,3,shrubs,4
JG,P,C,7.5,SOL_TOR,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
JG,P,C,7.5,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,76,shrubs,101.3333333
JG,P,C,7.5,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,2,shrubs,2.666666667
JG,P,C,7.5,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,33,shrubs,44
JG,P,D,1,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,51,shrubs,68
JG,P,D,1,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,20,<5 mm trees,26.66666667
JG,P,D,1,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,3,<5 mm trees,4
JG,P,D,1,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,10,<5 mm trees,13.33333333
JG,P,D,1,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,3,<5 mm trees,4
